Wahlart,Wahltag,Gebietsart,Gebietsnummer,Gebietsname,UegGebietsart,UegGebietsnummer,Gruppenart,Gruppenname,Gruppenreihenfolge,Stimme,Anzahl,Prozent,VorpAnzahl,VorpProzent,DiffProzent,DiffProzentPkt,Bemerkung,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,PIRATEN,12,1,60548,0,131003,93196,0,200898,-35,31546,0,69896,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,PIRATEN,12,2,169587,0,366291,173476,0,372942,-2,241809,0,6651,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,ÖDP,13,1,152542,0,330043,166228,0,35833,-8,23327,0,28287,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,ÖDP,13,2,112129,0,242188,144809,0,311313,-22,567658,0,69126,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,V-Partei³,14,1,10644,0,2303,1201,0,2589,786,261449,0,20441,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,V-Partei³,14,2,31763,0,68605,64073,0,137746,-50,426857,0,69141,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,DiB,15,1,2609,0,5645,,,,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,DiB,15,2,7184,0,15517,60914,0,130954,-88,206324,0,115437,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BP,16,1,36748,0,79509,62622,0,134991,-41,317748,0,55483,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BP,16,2,32790,0,70823,58037,0,124769,-43,501559,0,53946,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Tierschutzallianz,17,1,7371,0,15948,6114,0,1318,20,559372,0,2768,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Tierschutzallianz,17,2,13672,0,2953,32221,0,69269,-57,568046,0,39739,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,MLPD,18,1,22535,0,48757,35760,0,77086,-36,982662,0,28329,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,MLPD,18,2,17820,0,38489,29785,0,64032,-40,171227,0,25543,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Verjüngungsforschung (2021: Gesundheitsforschung),19,1,2171,0,4697,1537,0,3313,41,249187,0,1384,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Verjüngungsforschung (2021: Gesundheitsforschung),19,2,48496,0,104747,23404,0,50314,107,212442,0,54432,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,MENSCHLICHE WELT,20,1,652,0,1411,2205,0,4753,-70,430839,0,3343,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,MENSCHLICHE WELT,20,2,3786,0,8177,11661,0,25069,-67,532802,0,16892,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,DKP,21,1,5446,0,11783,7517,0,16204,-27,550885,0,4421,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,DKP,21,2,14957,0,32306,11558,0,24848,29,408202,0,7458,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Die Grauen,22,1,1962,0,4245,4300,0,9269,-54,372093,0,5024,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,Die Grauen,22,2,17304,0,37375,10009,0,21518,72,884404,0,15857,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,BüSo,23,1,811,0,1755,15960,0,34404,-94,918546,0,3265,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
